,Division,Year Range,1,2,3,4,5
22,INOR,2000-2010,electrochem* (78.3%),nanomaterial* (7.0%),organometallic* (5.3%),nanoscience* (2.6%),lanthanide* (2.3%)
23,MEDI,2000-2010,protein interaction* (29.1%),drug design (24.3%),drug discovery (16.0%),antibiotic* (10.9%),lipophil* (3.8%)
24,NUCL,2000-2010,isotope* (32.4%),nuclear fuel* (21.2%),radioisotope* (19.8%),nuclear medicine* (6.6%),nuclear fission (6.0%)
25,ORGN,2000-2010,protein* (64.1%),amino acid* (20.8%),peptide* (8.5%),aromatic* (2.8%),organic chem* (1.3%)
26,PHYS,2000-2010,electro* (57.1%),spectroscopy (7.2%),ion* (6.5%),quantum* (5.9%),graph theory (5.5%)
27,POLY,2000-2010,plastic* (49.0%),polymer* (39.4%),polymeriz* (5.7%),polymeric (2.9%),macromolecule* (1.8%)
28,PMSE,2000-2010,*polymer* (51.2%),*peptide* (31.8%),thin film* (8.9%),macromolecul* (3.2%),tissue engineering (2.9%)
29,PROF,2000-2010,chem* education (nan%),None,None,None,None
30,RUBB,2000-2010,rubber* (100.0%),None,None,None,None
31,SCHB,2000-2010,chem* sector* (100.0%),academic entrepreneur* (0.0%),commercial chem* (0.0%),science advoca* (0.0%),None
32,AGFD,2011-2020,protein* (27.4%),agricultur* (20.8%),food (10.9%),fruit* (6.4%),nut* (5.7%)
33,AGRO,2011-2020,soil (41.7%),crop* (28.4%),groundwater (9.9%),developing countr* (5.0%),surface water (4.4%)
34,ANYL,2011-2020,sensor* (53.7%),spectroscopy (15.1%),characterization* (11.5%),spectrometry (4.3%),groundwater (3.4%)
35,BIOT,2011-2020,biochemi* (36.4%),biophysic* (18.7%),systems biology (10.3%),precision medicine (8.5%),biotechnology (8.2%)
36,BIOL,2011-2020,drug discovery (48.3%),biosynthesis (12.4%),protein folding (11.4%),cytochrome* (11.2%),biomolecule* (10.4%)
37,BMGT,2011-2020,chem* compan* (56.7%),chem* enterprise* (36.7%),chem* business* (6.7%),chem* research and development (0.0%),None
38,CARB,2011-2020,carbohydrate* (47.4%),glycoprotein* (38.8%),glycan* (6.3%),oligosaccharide* (5.0%),glycobiology (1.0%)
39,CATL,2011-2020,cataly* (59.6%),metal oxides (22.4%),photocataly* (6.9%),surface chemistry (1.9%),surface reaction* (1.9%)
40,CELL,2011-2020,cellulose (39.8%),polysaccharide* (23.7%),lignin (18.1%),lignocellulos* (11.9%),hemp (3.5%)
41,CHED,2011-2020,chem* class* (68.1%),chem* educat* (7.5%),chem* educat* (7.5%),lab* safety (6.2%),chem* communication* (6.2%)
42,CHAS,2011-2020,chem* safety (58.2%),lab* safety (18.2%),chem* regulations (12.7%),environmental health and safety (10.9%),None
43,CINF,2011-2020,drug discovery (50.5%),computational chemistry (19.4%),chem* database* (8.6%),bio* modeling (6.3%),cheminformatic* (6.1%)
44,TOXI,2011-2020,toxi* (99.1%),chemical exposure* (0.8%),antibody drug conjugate* (0.2%),None,None
45,CHAL,2011-2020,pharmaceutical patent* (53.8%),chem* in commerce (30.8%),chem* patent* (15.4%),None,None
46,COLL,2011-2020,nanoparticle* (26.2%),adsorption (21.5%),thin film* (11.2%),tribolog* (8.6%),nanomaterial* (5.5%)
47,COMP,2011-2020,drug discovery (20.5%),drug design (16.4%),molecular model* (13.4%),density functional theory (11.4%),protein database* (11.4%)
48,ENFL,2011-2020,fuel* (17.5%),energy efficiency (12.8%),batter* (11.1%),petroleum (10.6%),renewable energy (8.9%)
49,ENVR,2011-2020,*sensor* (58.9%),soil* (15.7%),water quality (4.3%),environmental monitor* (3.6%),cataly* (2.7%)
50,FLUO,2011-2020,fluorine* (99.6%),radiopharmaceutical chem* (0.4%),None,None,None
51,GEOC,2011-2020,mining (31.7%),groundwater (29.4%),*geochem* (12.8%),anthropogenic (12.7%),hydraulic frac* (4.3%)
52,HIST,2011-2020,chem* histor* (62.5%),evolution of chem* (25.0%),history of chem* (12.5%),None,None
53,I&EC,2011-2020,water purification (35.0%),industrial chem* (18.4%),industrial and engineering chemistry (10.2%),industrial and engineering chemistry (10.2%),rare earth element* (9.7%)
54,INOR,2011-2020,electrochem* (62.0%),nanomaterial* (18.2%),organometallic* (6.1%),metal organic framework* (5.4%),electrocataly* (2.1%)
55,MEDI,2011-2020,protein interaction* (25.2%),drug discovery (20.9%),drug design (16.7%),antibiotic* (10.1%),glioblastoma* (6.5%)
56,NUCL,2011-2020,nuclear fuel* (32.2%),isotope* (26.9%),radioisotope* (11.0%),nuclear medicine* (9.4%),nuclear fission (8.2%)
57,ORGN,2011-2020,protein* (65.6%),amino acid* (18.8%),peptide* (8.2%),aromatic* (3.2%),organic chem* (1.0%)
58,PHYS,2011-2020,electro* (55.1%),spectroscopy (10.9%),nano* (6.3%),ion* (5.8%),quantum* (5.4%)
59,POLY,2011-2020,plastic* (51.5%),polymer* (37.7%),polymeriz* (4.3%),polymeric (2.7%),macromolecule* (1.9%)
60,PMSE,2011-2020,*polymer* (50.4%),*peptide* (30.0%),thin film* (8.1%),tissue engineering (5.4%),macromolecul* (3.2%)
61,PROF,2011-2020,chem* education (100.0%),None,None,None,None
62,RUBB,2011-2020,rubber* (100.0%),None,None,None,None
63,SCHB,2011-2020,commercial chem* (50.0%),chem* sector* (25.0%),academic entrepreneur* (16.7%),science advoca* (8.3%),None
